,N Steps,Shooting Method,Integration Method,Precompute Time,Setup Time,Solve Time
0,5,MS,Int,0.044406890869140625,0.537172794342041,0.08302593231201172
1,5,MS,Exp,0.0065364837646484375,0.0176393985748291,0.32555460929870605
2,5,SS,Int,0.02881312370300293,0.3519313335418701,0.002450704574584961
3,5,SS,Exp,0.007250308990478516,0.014564037322998047,0.0017211437225341797
4,10,MS,Int,0.052675485610961914,0.541717529296875,0.37636828422546387
5,10,MS,Exp,0.01412200927734375,0.032953739166259766,0.36052560806274414
6,10,SS,Int,0.05337333679199219,1.1887896060943604,0.1310579776763916
7,10,SS,Exp,0.017096757888793945,0.0435941219329834,0.037435054779052734
8,15,MS,Int,0.08139252662658691,0.8630969524383545,0.2523987293243408
9,15,MS,Exp,0.027001380920410156,0.049128055572509766,0.5661520957946777
10,15,SS,Int,0.08005857467651367,2.399768352508545,8.90184998512268
11,15,SS,Exp,0.022656679153442383,0.08768630027770996,0.02528834342956543
12,20,MS,Int,0.11441779136657715,1.1815698146820068,0.18254923820495605
13,20,MS,Exp,0.03306126594543457,0.07543540000915527,0.1243140697479248
14,20,SS,Int,0.113983154296875,3.9145734310150146,0.39372897148132324
15,20,SS,Exp,0.03566265106201172,0.1647346019744873,0.023862838745117188
16,25,MS,Int,0.14337444305419922,1.4735844135284424,0.5128769874572754
17,25,MS,Exp,0.08406639099121094,0.0854792594909668,0.19895410537719727
18,25,SS,Int,0.14953136444091797,6.007004737854004,0.6969010829925537
19,25,SS,Exp,0.05267000198364258,0.22493553161621094,0.05884146690368652
20,30,MS,Int,0.18229317665100098,1.9056990146636963,0.727510929107666
21,30,MS,Exp,0.0631554126739502,0.10136032104492188,0.10328555107116699
22,30,SS,Int,0.18604755401611328,8.712588787078857,0.8986692428588867
23,30,SS,Exp,0.07477331161499023,0.36611104011535645,0.18611788749694824
24,35,MS,Int,0.2532613277435303,2.3412249088287354,0.7810511589050293
25,35,MS,Exp,0.07931923866271973,0.1254734992980957,0.3228132724761963
26,35,SS,Int,0.22593116760253906,11.946949481964111,1.4227797985076904
27,35,SS,Exp,0.08175230026245117,0.47748351097106934,0.057068824768066406
28,40,MS,Int,0.28522229194641113,2.546156644821167,1.6955654621124268
29,40,MS,Exp,0.1039881706237793,0.15368437767028809,0.5475623607635498
30,40,SS,Int,0.28809189796447754,15.031204223632812,2.144768476486206
31,40,SS,Exp,0.10110783576965332,0.6227951049804688,0.07159900665283203
32,45,MS,Int,0.31702375411987305,2.904616117477417,2.347445249557495
33,45,MS,Exp,0.12180781364440918,0.1600511074066162,0.09400129318237305
34,45,SS,Int,0.31669020652770996,18.993632078170776,2.928784132003784
35,45,SS,Exp,0.15280699729919434,0.8247072696685791,0.13629746437072754
36,50,MS,Int,0.37829160690307617,3.323528289794922,2.705627679824829
37,50,MS,Exp,0.14322257041931152,0.17822599411010742,0.3455214500427246
38,50,SS,Int,0.3653218746185303,23.084142923355103,3.4281091690063477
39,50,SS,Exp,0.1474153995513916,0.922203779220581,0.1892375946044922
40,55,MS,Int,0.4012272357940674,3.424886703491211,3.874830722808838
41,55,MS,Exp,0.17096662521362305,0.1965494155883789,0.17418909072875977
42,55,SS,Int,0.3998889923095703,26.36398720741272,4.95266580581665
43,55,SS,Exp,0.17405247688293457,1.134307622909546,0.32259654998779297
44,60,MS,Int,0.4565610885620117,3.821215867996216,7.1693925857543945
45,60,MS,Exp,0.20616984367370605,0.21582627296447754,0.10470914840698242
46,60,SS,Int,0.46016597747802734,32.21926140785217,7.6679956912994385
47,60,SS,Exp,0.20137643814086914,1.3474726676940918,0.3492753505706787
48,65,MS,Int,0.500694990158081,4.28738260269165,5.40746283531189
49,65,MS,Exp,0.245161771774292,0.24131488800048828,0.6989972591400146
50,65,SS,Int,0.5280585289001465,38.49136972427368,19.982954263687134
51,65,SS,Exp,0.23798465728759766,1.604607105255127,0.9700028896331787
52,70,MS,Int,0.5640208721160889,4.475566864013672,7.068262100219727
53,70,MS,Exp,0.2670891284942627,0.2595527172088623,0.26481175422668457
54,70,SS,Int,0.5603816509246826,42.51448321342468,17.619908094406128
55,70,SS,Exp,0.27004384994506836,1.8916974067687988,0.9304547309875488
56,75,MS,Int,0.618675708770752,4.810503244400024,9.387850522994995
57,75,MS,Exp,0.30806517601013184,0.28578972816467285,1.2144901752471924
58,75,SS,Int,0.6233859062194824,50.101691246032715,17.785329818725586
59,75,SS,Exp,0.30414676666259766,2.1899335384368896,0.9548215866088867
60,80,MS,Int,0.6826763153076172,4.990315914154053,13.185346603393555
61,80,MS,Exp,0.34828734397888184,0.31112027168273926,0.7187108993530273
62,80,SS,Int,0.7078135013580322,54.4907009601593,41.42499566078186
63,80,SS,Exp,0.3408794403076172,2.4821431636810303,1.773008108139038
64,85,MS,Int,0.7416679859161377,5.348024368286133,12.232239246368408
65,85,MS,Exp,0.3739430904388428,0.3060176372528076,0.9311411380767822
66,85,SS,Int,0.7276520729064941,60.16178226470947,46.19580817222595
67,85,SS,Exp,0.38764476776123047,2.8932082653045654,2.107121467590332
68,90,MS,Int,0.8406071662902832,5.712204217910767,17.09847855567932
69,90,MS,Exp,0.431591272354126,0.3521614074707031,0.7594137191772461
70,90,SS,Int,0.8101074695587158,70.3113386631012,38.75309181213379
71,90,SS,Exp,0.4129481315612793,3.133875846862793,1.9658217430114746
72,95,MS,Int,0.8583996295928955,7.5588624477386475,14.933821439743042
73,95,MS,Exp,0.5363655090332031,0.35671496391296387,0.9897308349609375
74,95,SS,Int,0.9020740985870361,75.35341262817383,44.895554304122925
75,95,SS,Exp,0.46961355209350586,3.687849998474121,2.6403870582580566
76,100,MS,Int,1.0509719848632812,7.7943198680877686,19.711151599884033
77,100,MS,Exp,0.517195463180542,0.3722705841064453,1.9481792449951172
78,100,SS,Int,0.9258778095245361,87.48656296730042,51.86145377159119
79,100,SS,Exp,0.527587890625,4.012128114700317,5.154791831970215
80,105,MS,Int,0.8815169334411621,6.433162212371826,18.182978868484497
81,105,MS,Exp,0.5118439197540283,0.38117289543151855,3.275707244873047
82,105,SS,Exp,0.5077204704284668,4.283056974411011,1.628443956375122
83,110,MS,Int,1.002962350845337,6.7520012855529785,23.364628314971924
84,110,MS,Exp,0.5662853717803955,0.4082062244415283,1.4153108596801758
85,110,SS,Exp,0.5840315818786621,4.802387714385986,3.601816177368164
86,115,MS,Int,1.0906107425689697,7.209240674972534,30.92911458015442
87,115,MS,Exp,0.6346719264984131,0.42537569999694824,2.3404834270477295
88,115,SS,Exp,0.6209943294525146,5.356179475784302,2.881282329559326
89,120,MS,Int,1.1891968250274658,7.535800218582153,23.832120180130005
90,120,MS,Exp,0.6941092014312744,0.4617624282836914,3.6400692462921143
91,120,SS,Exp,0.6911225318908691,5.9385085105896,6.60000205039978
92,125,MS,Int,1.2669708728790283,7.986649751663208,29.808847188949585
93,125,MS,Exp,0.7446880340576172,0.4741067886352539,1.7874882221221924
94,125,SS,Exp,0.7489848136901855,6.536190748214722,3.8361377716064453
95,130,MS,Int,1.3555376529693604,8.287317514419556,36.36496162414551
96,130,MS,Exp,0.8104395866394043,0.4967043399810791,3.537118434906006
97,130,SS,Exp,0.800518274307251,7.148036241531372,8.174932956695557
98,135,MS,Int,1.4564332962036133,8.518944025039673,31.384900093078613
99,135,MS,Exp,0.8609206676483154,0.5096933841705322,2.7032501697540283
100,135,SS,Exp,0.8529624938964844,7.862236738204956,8.315639019012451
101,140,MS,Int,1.5243568420410156,8.921541213989258,39.46667170524597
102,140,MS,Exp,0.9295835494995117,0.5356442928314209,4.429215908050537
103,140,SS,Exp,0.9160141944885254,8.573667049407959,3.451582193374634
104,145,MS,Int,1.6164467334747314,9.137685537338257,38.362372398376465
105,145,MS,Exp,0.9872851371765137,0.555321216583252,3.0990400314331055
106,145,SS,Exp,0.982907772064209,9.298694610595703,3.850459575653076
107,150,MS,Int,1.6872882843017578,9.501306295394897,51.61931347846985
108,150,MS,Exp,1.0380468368530273,0.5795314311981201,1.3769659996032715
109,150,SS,Exp,1.0371694564819336,10.057270526885986,3.823686361312866
110,155,MS,Int,1.761535882949829,9.847121238708496,45.33398175239563
111,155,MS,Exp,1.117238998413086,0.5939548015594482,8.559399127960205
112,155,SS,Exp,1.1025874614715576,10.845132827758789,4.102671146392822
113,160,MS,Int,1.8594989776611328,10.099369287490845,56.21198391914368
114,160,MS,Exp,1.1685564517974854,0.6211347579956055,6.463934421539307
115,160,SS,Exp,1.1683213710784912,11.710553646087646,4.530298233032227
116,165,MS,Int,1.9387757778167725,10.422909259796143,53.96943163871765
117,165,MS,Exp,1.2629828453063965,0.6380934715270996,5.86424446105957
118,165,SS,Exp,1.2430319786071777,12.688212394714355,4.504676580429077
119,170,MS,Int,2.0464534759521484,10.880689144134521,55.35899209976196
120,170,MS,Exp,1.3261806964874268,0.6754631996154785,1.595149278640747
121,170,SS,Exp,1.3178935050964355,13.741656064987183,3.0808675289154053
122,175,MS,Int,2.175567626953125,11.224722623825073,44.94782900810242
123,175,MS,Exp,1.3888537883758545,0.683577299118042,5.852481126785278
124,175,SS,Exp,1.3842909336090088,14.646288633346558,4.765853643417358
125,180,MS,Int,2.22995924949646,11.508816242218018,60.935652017593384
126,180,MS,Exp,1.479292869567871,0.7206506729125977,8.090803384780884
127,180,SS,Exp,1.4554376602172852,15.746977090835571,4.920236110687256
128,185,MS,Int,2.333848237991333,11.773356914520264,76.33853530883789
129,185,MS,Exp,1.5490152835845947,0.7357110977172852,4.294925928115845
130,185,SS,Exp,1.5466063022613525,16.887278079986572,5.08292293548584
131,190,MS,Int,2.4218573570251465,12.072847366333008,82.81633687019348
132,190,MS,Exp,1.6293425559997559,0.7488870620727539,7.887299537658691
133,190,SS,Exp,1.6393346786499023,18.142194032669067,5.844806432723999
134,195,MS,Int,2.5382518768310547,12.446980714797974,73.47095918655396
135,195,MS,Exp,1.7057137489318848,0.7512912750244141,11.98118257522583
136,195,SS,Exp,1.671921968460083,19.21669864654541,4.730541467666626
137,200,MS,Int,2.6320481300354004,12.655494451522827,87.24210023880005
138,200,MS,Exp,1.78122878074646,0.7769725322723389,12.964750289916992
139,200,SS,Exp,1.765505075454712,20.484755992889404,6.955309152603149
